title,metacritic_score
Superman II,87
Fateless,87
The Farthest,87
Goldfinger,87
My Journey Through French Cinema,87
Spartacus,87
We Are the Best!,87
The Bridge on the River Kwai,87
Jane,87
One False Move,87
Gomorrah,87
About Elly (2009),87
To Kill a Mockingbird,87
Fire at Sea,87
Eraserhead,87
Brooklyn,87
To Be and to Have,87
The Big Sick,86
Nausicaä of the Valley of the Wind,86
The Death of Mr. Lazarescu,86
The Master,86
The Grifters,86
Traffic,86
Under the Sand,86
Talk to Her,86
Our Daily Bread,86
Argo,86
The Beaches of Agnès,86
The Great Beauty,86
Drug War,86
Maidan,86
Back to the Future,86
Deliver Us from Evil,86
West Side Story,86
Das Boot,86
This Is England,86
Stranger Than Paradise,86
Nobody's Fool,86
Los Angeles Plays Itself,86
Ponyo,86
City of Ghosts,86
Springtime in a Small Town,86
Flight of the Red Balloon,86
The Double Life of Veronique,86
Beasts of the Southern Wild,86
Andy Warhol: A Documentary Film,86
Last Train Home,86
American Beauty,86
Let the Fire Burn,86
Baby Driver,86
Diane,86
Only Angels Have Wings,86
Diner,86
Ernest & Célestine,86
The Interrupters,86
Strong Island,86
Barbara,86
Superman,86
The Player,86
The Son,86
Sweet Sixteen,86
Of Gods and Men,86
The Umbrellas of Cherbourg (re-released),86
I Am Another You,86
Like Water for Chocolate,86
Rushmore,86
The Straight Story,86
42: Forty Two Up,86
Million Dollar Baby,86
To Die For,86
Dreamcatcher,86
Stand Clear of the Closing Doors,86
Slumdog Millionaire,86
Nebraska,86
To Be or Not to Be,86
Cameraperson,86
Dog Day Afternoon,86
"sex, lies, and videotape",86
The Wind Will Carry Us,86
The Tillman Story,86
Room,86
Lincoln,86
Russian Ark,86
A Fantastic Woman,86
Marooned in Iraq,86
Krisha,86
Madeline's Madeline,86
The Babadook,86
Aliens,86
Chinatown,86
In the Bedroom,86
I'm Going Home,86
Ten,86
Loveless,86
Easy Rider,86
Chasing Coral,86
My Happy Family,86
The Red Turtle,86
How to Survive a Plague,86
King of the Hill,86
Manakamana,86
The Kids Are All Right,86
Boys Don't Cry,86
Dead Ringers,86
Little Men,86
Cave of Forgotten Dreams,86
My Neighbor Totoro,86
Last Days in Vietnam,86
Behemoth,85
Star Wars: Episode VIII - The Last Jedi,85
Alexandra,85
The Tree of Life,85
Atonement,85
24 Hour Party People,85
The Past,85
The Sun,85
Paragraph 175,85
Neil Young: Heart of Gold,85
Forbidden Lie$,85
The Intruder,85
Kaili Blues,85
God's Own Country,85
The Last Seduction,85
Hedwig and the Angry Inch,85
The Silence of the Lambs,85
My Life as a Zucchini,85
Mudbound,85
Hero,85
The Host,85
Passing Strange,85
The Departure,85
Starless Dreams,85
About Schmidt,85
Sound and Fury,85
The Circle,85
Since Otar Left,85
Dawson City: Frozen Time,85
From Russia with Love,85
Watchers of the Sky,85
Carrie,85
Fruitvale Station,85
The Long Day Closes,85
Three Colors: Blue,85
Meek's Cutoff,85
The Iron Giant,85
The Godfather: Part II,85
Women on the Verge of a Nervous Breakdown,85
Out of Sight,85
Grisbi (re-release),85
Summer Hours,85
Restrepo,85
Domestic Violence,85
Turtles Can Fly,85
Love and Diane,85
Night Will Fall,85
Lebanon,85
Ilo Ilo,85
The Savages,85
The Edge of Heaven,85
Amy,85
Song of the Sea,85
City of Life and Death,85
Blow Out,85
Boogie Nights,85
You Can Count on Me,85
Children Underground,85
The Pianist,85
The Salesman,85
Take Shelter,85
Raiders of the Lost Ark,85
The Bourne Ultimatum,85
Before Night Falls,85
Say Anything...,85
Unforgiven,85
The Treasure,85
Tangerine,85
The Endurance,85
Festival Express,85
Street Fight,85
Exit Through the Gift Shop,85
Vincere,85
Half Nelson,85
Tinker Tailor Soldier Spy,85
Rat Film,85
An Education,85
This Is Spinal Tap (re-release),85
"Spring, Summer, Fall, Winter... and Spring",85
Fargo,85
April and the Extraordinary World,85
Offside,85
The Departed,85
Girlhood,85
Let's Get Lost,85
In the Mood for Love,85
The Ornithologist,85
Tales of the Grim Sleeper,85
Knocked Up,85
Homicide,84
Snowpiercer,84
Before the Devil Knows You're Dead,84
The Descendants,84
The Joy Luck Club,84
The Insider,84
Museum Hours,84
Happy-Go-Lucky,84
The Square,84
A Ghost Story,84
Love After Love,84
Volver,84
Ballast,84
In the Name of the Father,84
You Were Never Really Here,84
Shrek,84
Under the Shadow,84
Lassie,84
Iraq in Fragments,84
Get Out,84
The Cove,84
Together,84
Dracula: Pages from a Virgin's Diary,84
13 Assassins,84
Stray Dogs,84
The Waiting Room,84
Mutual Appreciation,84
Rocco and His Brothers (re-release),84
Mandy,84
Dave Chappelle's Block Party,84
Old Joy,84
Dallas Buyers Club,84
Weiner,84
Sense and Sensibility,84
The Day I Became a Woman,84
The Pinochet Case,84
The Quiet American,84
Kings & Queen,84
My Winnipeg,84
Momma's Man,84
High Hopes,84
Broadcast News,84
Naked,84
49 Up,84
Séraphine,84
Lantana,84
The Handmaiden,84
The Black Stallion,84
Up the Yangtze,84
The Other Side of Hope,84
Horse Money,84
Calle 54,84
BPM (Beats Per Minute),84
Moonrise Kingdom,84
American Movie,84
The Man Without a Past,84
Children of Men,84
Custody,84
Milk,84
Fireworks Wednesday (2006),84
Heart of a Dog,84
Eighth Grade,84
Kubo and the Two Strings,84
Graduation,84
Looper,84
"Oslo, August 31st",84
Mystic River,84
Guy and Madeline on a Park Bench,84
Darwin's Nightmare,84
War Witch,84
Aferim!,84
The Remains of the Day,84
No Man's Land,84
Lagaan: Once Upon a Time in India,84
Far From Heaven,84
Distant,84
Harmonium,84
Revanche,84
The Work,84
A Christmas Tale,84
The Big Risk,84
In the Shadow of the Moon,84
Holy Motors,84
After the Storm,84
Sling Blade,84
Trouble the Water,83
The Post,83
The White Diamond,83
Being 17,83
Henry V,83
Tyson,83
The Magdalene Sisters,83
Blind,83
Mulholland Dr.,83
